Period,Inst_sector,Inst_sector_code,Descriptor,SNA08TRANS,Asset_liability_code,Values
2007.03,Non-corporate business enterprises,121,Closing balance total assets,LE00000,A000000,345970
2007.03,Non-corporate business enterprises,121,Financial assets Closing balance Total financial assets,LE00000,AFA0000,99771
2007.03,Non-corporate business enterprises,121,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
2007.03,Non-corporate business enterprises,121,Financial assets Closing balance currency and deposits,LE00000,AFA0200,14773
2007.03,Non-corporate business enterprises,121,Financial assets Closing balance debt securities,LE00000,AFA0300,1267
2007.03,Non-corporate business enterprises,121,Financial assets Closing balance loans,LE00000,AFA0400,21229
2007.03,Non-corporate business enterprises,121,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,58891
2007.03,Non-corporate business enterprises,121,"Financial assets Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFA0600,285
2007.03,Non-corporate business enterprises,121,Financial assets Closing balance financial derivatives,LE00000,AFA0700,0
2007.03,Non-corporate business enterprises,121,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,3326
2007.03,Non-corporate business enterprises,121,Financial liabilities Closing balance Total financial liabilities,LE00000,AFL0000,345970
2007.03,Non-corporate business enterprises,121,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
2007.03,Non-corporate business enterprises,121,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,0
2007.03,Non-corporate business enterprises,121,Financial liabilities Closing balance debt securities,LE00000,AFL0300,4613
2007.03,Non-corporate business enterprises,121,Financial liabilities Closing balance loans,LE00000,AFL0400,62585
2007.03,Non-corporate business enterprises,121,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,270626
2007.03,Non-corporate business enterprises,121,"Financial liabilities Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFL0600,0
2007.03,Non-corporate business enterprises,121,Financial liabilities Closing balance financial derivatives,LE00000,AFL0700,0
2007.03,Non-corporate business enterprises,121,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,8146
2007.03,Non-corporate business enterprises,121,Capital Account Closing balances Total non-financial assets,LE00000,AN00000,246199
2007.03,Non-corporate business enterprises,121,Capital Account Closing balances Produced non-financial assets,LE00000,AN10000,91760
2007.03,Non-corporate business enterprises,121,Capital Account Closing balances Non-produced non-financial assets,LE00000,AN20000,154439
2007.03,Non-corporate business enterprises,121,Closing balance net worth,LE00000,B900000,0
2007.03,Non-corporate business enterprises,121,Closing balance total liabilities and net worth,LE00000,L000000,345970
2007.03,Corporate business enterprises,141,Closing balance total assets,LE00000,A000000,567373
2007.03,Corporate business enterprises,141,Financial assets Closing balance Total financial assets,LE00000,AFA0000,194839
2007.03,Corporate business enterprises,141,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
2007.03,Corporate business enterprises,141,Financial assets Closing balance currency and deposits,LE00000,AFA0200,21420
2007.03,Corporate business enterprises,141,Financial assets Closing balance debt securities,LE00000,AFA0300,1915
2007.03,Corporate business enterprises,141,Financial assets Closing balance loans,LE00000,AFA0400,33187
2007.03,Corporate business enterprises,141,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,80742
2007.03,Corporate business enterprises,141,"Financial assets Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFA0600,1036
2007.03,Corporate business enterprises,141,Financial assets Closing balance financial derivatives,LE00000,AFA0700,1869
2007.03,Corporate business enterprises,141,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,54670
2007.03,Corporate business enterprises,141,Financial liabilities Closing balance Total financial liabilities,LE00000,AFL0000,583134
2007.03,Corporate business enterprises,141,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
2007.03,Corporate business enterprises,141,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,0
2007.03,Corporate business enterprises,141,Financial liabilities Closing balance debt securities,LE00000,AFL0300,14306
2007.03,Corporate business enterprises,141,Financial liabilities Closing balance loans,LE00000,AFL0400,170960
2007.03,Corporate business enterprises,141,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,347539
2007.03,Corporate business enterprises,141,"Financial liabilities Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFL0600,0
2007.03,Corporate business enterprises,141,Financial liabilities Closing balance financial derivatives,LE00000,AFL0700,2031
2007.03,Corporate business enterprises,141,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,48298
2007.03,Corporate business enterprises,141,Capital Account Closing balances Total non-financial assets,LE00000,AN00000,372534
2007.03,Corporate business enterprises,141,Capital Account Closing balances Produced non-financial assets,LE00000,AN10000,209790
2007.03,Corporate business enterprises,141,Capital Account Closing balances Non-produced non-financial assets,LE00000,AN20000,162744
2007.03,Corporate business enterprises,141,Closing balance net worth,LE00000,B900000,-15761
2007.03,Corporate business enterprises,141,Closing balance total liabilities and net worth,LE00000,L000000,567373
2007.03,Central bank,211,Closing balance total assets,LE00000,A000000,20719
2007.03,Central bank,211,Financial assets Closing balance Total financial assets,LE00000,AFA0000,20663
2007.03,Central bank,211,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
2007.03,Central bank,211,Financial assets Closing balance currency and deposits,LE00000,AFA0200,446
2007.03,Central bank,211,Financial assets Closing balance debt securities,LE00000,AFA0300,15368
2007.03,Central bank,211,Financial assets Closing balance loans,LE00000,AFA0400,4313
2007.03,Central bank,211,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,102
2007.03,Central bank,211,"Financial assets Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFA0600,0
2007.03,Central bank,211,Financial assets Closing balance financial derivatives,LE00000,AFA0700,395
2007.03,Central bank,211,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,39
2007.03,Central bank,211,Financial liabilities Closing balance Total financial liabilities,LE00000,AFL0000,20719
2007.03,Central bank,211,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
2007.03,Central bank,211,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,13531
2007.03,Central bank,211,Financial liabilities Closing balance debt securities,LE00000,AFL0300,0
2007.03,Central bank,211,Financial liabilities Closing balance loans,LE00000,AFL0400,5182
2007.03,Central bank,211,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,1609
2007.03,Central bank,211,"Financial liabilities Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFL0600,0
2007.03,Central bank,211,Financial liabilities Closing balance financial derivatives,LE00000,AFL0700,0
2007.03,Central bank,211,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,397
2007.03,Central bank,211,Capital Account Closing balances Total non-financial assets,LE00000,AN00000,56
2007.03,Central bank,211,Capital Account Closing balances Produced non-financial assets,LE00000,AN10000,42
2007.03,Central bank,211,Capital Account Closing balances Non-produced non-financial assets,LE00000,AN20000,14
2007.03,Central bank,211,Closing balance net worth,LE00000,B900000,0
2007.03,Central bank,211,Closing balance total liabilities and net worth,LE00000,L000000,20719
2007.03,Registered banks,221,Closing balance total assets,LE00000,A000000,300264
2007.03,Registered banks,221,Financial assets Closing balance Total financial assets,LE00000,AFA0000,293582
2007.03,Registered banks,221,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
2007.03,Registered banks,221,Financial assets Closing balance currency and deposits,LE00000,AFA0200,11993
2007.03,Registered banks,221,Financial assets Closing balance debt securities,LE00000,AFA0300,16493
2007.03,Registered banks,221,Financial assets Closing balance loans,LE00000,AFA0400,253893
2007.03,Registered banks,221,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,378
2007.03,Registered banks,221,"Financial assets Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFA0600,..
2007.03,Registered banks,221,Financial assets Closing balance financial derivatives,LE00000,AFA0700,8104
2007.03,Registered banks,221,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,2721
2007.03,Registered banks,221,Financial liabilities Closing balance Total financial liabilities,LE00000,AFL0000,318750
2007.03,Registered banks,221,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
2007.03,Registered banks,221,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,161122
2007.03,Registered banks,221,Financial liabilities Closing balance debt securities,LE00000,AFL0300,86031
2007.03,Registered banks,221,Financial liabilities Closing balance loans,LE00000,AFL0400,29196
2007.03,Registered banks,221,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,30897
2007.03,Registered banks,221,"Financial liabilities Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFL0600,0
2007.03,Registered banks,221,Financial liabilities Closing balance financial derivatives,LE00000,AFL0700,8845
2007.03,Registered banks,221,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,2659
2007.03,Registered banks,221,Capital Account Closing balances Total non-financial assets,LE00000,AN00000,6682
2007.03,Registered banks,221,Capital Account Closing balances Produced non-financial assets,LE00000,AN10000,2082
2007.03,Registered banks,221,Capital Account Closing balances Non-produced non-financial assets,LE00000,AN20000,4600
2007.03,Registered banks,221,Closing balance net worth,LE00000,B900000,-18486
2007.03,Registered banks,221,Closing balance total liabilities and net worth,LE00000,L000000,300264
2007.03,Other depository institutions,222,Closing balance total assets,LE00000,A000000,16502
2007.03,Other depository institutions,222,Financial assets Closing balance Total financial assets,LE00000,AFA0000,16308
2007.03,Other depository institutions,222,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
2007.03,Other depository institutions,222,Financial assets Closing balance currency and deposits,LE00000,AFA0200,..
2007.03,Other depository institutions,222,Financial assets Closing balance debt securities,LE00000,AFA0300,10
2007.03,Other depository institutions,222,Financial assets Closing balance loans,LE00000,AFA0400,16298
2007.03,Other depository institutions,222,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,..
2007.03,Other depository institutions,222,"Financial assets Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFA0600,..
2007.03,Other depository institutions,222,Financial assets Closing balance financial derivatives,LE00000,AFA0700,..
2007.03,Other depository institutions,222,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,..
2007.03,Other depository institutions,222,Financial liabilities Closing balance Total financial liabilities,LE00000,AFL0000,16502
2007.03,Other depository institutions,222,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
2007.03,Other depository institutions,222,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,14569
2007.03,Other depository institutions,222,Financial liabilities Closing balance debt securities,LE00000,AFL0300,..
2007.03,Other depository institutions,222,Financial liabilities Closing balance loans,LE00000,AFL0400,..
2007.03,Other depository institutions,222,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,1933
2007.03,Other depository institutions,222,"Financial liabilities Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFL0600,0
2007.03,Other depository institutions,222,Financial liabilities Closing balance financial derivatives,LE00000,AFL0700,..
2007.03,Other depository institutions,222,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,..
2007.03,Other depository institutions,222,Capital Account Closing balances Total non-financial assets,LE00000,AN00000,194
2007.03,Other depository institutions,222,Capital Account Closing balances Produced non-financial assets,LE00000,AN10000,181
2007.03,Other depository institutions,222,Capital Account Closing balances Non-produced non-financial assets,LE00000,AN20000,13
2007.03,Other depository institutions,222,Closing balance net worth,LE00000,B900000,0
2007.03,Other depository institutions,222,Closing balance total liabilities and net worth,LE00000,L000000,16502
2007.03,Investment funds,231,Closing balance total assets,LE00000,A000000,40185
2007.03,Investment funds,231,Financial assets Closing balance Total financial assets,LE00000,AFA0000,40042
2007.03,Investment funds,231,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
2007.03,Investment funds,231,Financial assets Closing balance currency and deposits,LE00000,AFA0200,9146
2007.03,Investment funds,231,Financial assets Closing balance debt securities,LE00000,AFA0300,12842
2007.03,Investment funds,231,Financial assets Closing balance loans,LE00000,AFA0400,0
2007.03,Investment funds,231,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,17741
2007.03,Investment funds,231,"Financial assets Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFA0600,..
2007.03,Investment funds,231,Financial assets Closing balance financial derivatives,LE00000,AFA0700,0
2007.03,Investment funds,231,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,313
2007.03,Investment funds,231,Financial liabilities Closing balance Total financial liabilities,LE00000,AFL0000,40185
2007.03,Investment funds,231,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
2007.03,Investment funds,231,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,0
2007.03,Investment funds,231,Financial liabilities Closing balance debt securities,LE00000,AFL0300,0
2007.03,Investment funds,231,Financial liabilities Closing balance loans,LE00000,AFL0400,0
2007.03,Investment funds,231,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,40185
2007.03,Investment funds,231,"Financial liabilities Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFL0600,0
2007.03,Investment funds,231,Financial liabilities Closing balance financial derivatives,LE00000,AFL0700,..
2007.03,Investment funds,231,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,..
2007.03,Investment funds,231,Capital Account Closing balances Total non-financial assets,LE00000,AN00000,143
2007.03,Investment funds,231,Capital Account Closing balances Produced non-financial assets,LE00000,AN10000,143
2007.03,Investment funds,231,Capital Account Closing balances Non-produced non-financial assets,LE00000,AN20000,0
2007.03,Investment funds,231,Closing balance net worth,LE00000,B900000,0
2007.03,Investment funds,231,Closing balance total liabilities and net worth,LE00000,L000000,40185
2007.03,Other financial intermediaries excluding insurance and pension funds,241,Closing balance total assets,LE00000,A000000,83629
2007.03,Other financial intermediaries excluding insurance and pension funds,241,Financial assets Closing balance Total financial assets,LE00000,AFA0000,82880
2007.03,Other financial intermediaries excluding insurance and pension funds,241,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
2007.03,Other financial intermediaries excluding insurance and pension funds,241,Financial assets Closing balance currency and deposits,LE00000,AFA0200,1314
2007.03,Other financial intermediaries excluding insurance and pension funds,241,Financial assets Closing balance debt securities,LE00000,AFA0300,42957
2007.03,Other financial intermediaries excluding insurance and pension funds,241,Financial assets Closing balance loans,LE00000,AFA0400,33315
2007.03,Other financial intermediaries excluding insurance and pension funds,241,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,1784
2007.03,Other financial intermediaries excluding insurance and pension funds,241,"Financial assets Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFA0600,..
2007.03,Other financial intermediaries excluding insurance and pension funds,241,Financial assets Closing balance financial derivatives,LE00000,AFA0700,99
2007.03,Other financial intermediaries excluding insurance and pension funds,241,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,3411
2007.03,Other financial intermediaries excluding insurance and pension funds,241,Financial liabilities Closing balance Total financial liabilities,LE00000,AFL0000,84279
2007.03,Other financial intermediaries excluding insurance and pension funds,241,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
2007.03,Other financial intermediaries excluding insurance and pension funds,241,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,0
2007.03,Other financial intermediaries excluding insurance and pension funds,241,Financial liabilities Closing balance debt securities,LE00000,AFL0300,55445
2007.03,Other financial intermediaries excluding insurance and pension funds,241,Financial liabilities Closing balance loans,LE00000,AFL0400,19291
2007.03,Other financial intermediaries excluding insurance and pension funds,241,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,8020
